arc P_MPa,arc Absolute error_P_MPa,arc T,arc Absolute error_T,,,,
1.758834614,0.281413538,768.2391757,28,,,,
1.739135011,0.278261602,770.1933374,28,,,,
2.166002091,0.346560335,788.6870487,28,,,,
1.680516545,0.268882647,762.5923618,28,,,,
2.280153928,0.364824629,791.4491026,28,,,,
1.501784229,0.240285477,753.8938425,28,,,,
1.745594408,0.279295105,771.804112,28,,,,
2.322990843,0.371678535,795.1919257,28,,,,
1.429473425,0.228715748,747.3703755,28,,,,
1.384116492,0.221458639,755.908223,28,,,,
2.333669155,0.373387065,789.0727414,28,,,,
1.853390621,0.296542499,776.5566606,28,,,,
1.691591591,0.270654655,752.7110354,28,,,,
2.485678614,0.397708578,806.3659543,28,,,,
1.436921299,0.229907408,755.1714917,28,,,,
1.583984675,0.253437548,760.38158,28,,,,
1.879930219,0.300788835,775.3501739,28,,,,
1.896825146,0.303492023,770.0609084,28,,,,
2.30671407,0.369074251,788.1531421,28,,,,
1.800557295,0.288089167,772.0088139,28,,,,
1.842213404,0.294754145,767.3192011,28,,,,
2.048923815,0.32782781,782.5986098,28,,,,
1.652095468,0.264335275,765.3974457,28,,,,
1.552787418,0.248445987,758.5216582,28,,,,
1.923279988,0.307724798,777.0689447,28,,,,
1.51254454,0.242007126,755.4742285,28,,,,
2.503304544,0.400528727,807.26577,28,,,,
1.624563544,0.259930167,760.3723216,28,,,,
1.579366367,0.252698619,760.9162535,28,,,,
1.65993102,0.265588963,761.7329488,28,,,,
2.280960507,0.364953681,794.4655107,28,,,,
1.994504922,0.319120788,781.0098225,28,,,,
1.722792791,0.275646847,765.1605743,28,,,,
2.416097577,0.386575612,802.4224395,28,,,,
2.126591192,0.340254591,783.755803,28,,,,
1.889911064,0.30238577,780.0250821,28,,,,
2.000128255,0.320020521,777.2942079,28,,,,
2.273911821,0.363825891,797.9586947,28,,,,
1.540018187,0.24640291,754.576246,28,,,,
1.595464639,0.255274342,763.3207597,28,,,,
2.299086628,0.36785386,803.1492861,28,,,,
1.887932682,0.302069229,780.6527854,28,,,,
2.072883304,0.331661329,786.3788345,28,,,,
1.805566663,0.288890666,777.5678065,28,,,,
2.195408056,0.351265289,793.7434615,28,,,,
2.296238473,0.367398156,797.8501601,28,,,,
