MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.164262758,0.000845261,0.074488099,0.999946962,5.66E-05
0.164267162,0.001040041,0.00279279,0.99890305,0.001076016
0.16426957,1.788159371,2.134133225,0.972916494,0.026605029
0.164287385,0.00037817,0.059746634,0.996392295,0.003628425
0.164290507,0.002589027,0.405436398,0.999048664,0.000954994
0.164298251,0.018498428,0.049053227,0.959781739,0.037766531
0.164300123,0.192163921,0.263704003,0.997484317,0.001393039
0.164315288,0.013720446,0.578343249,0.997714297,0.00208474
0.164315326,0.018664067,0.040024018,0.965646045,0.032327799
0.164330319,0.002195836,0.631963853,0.999202062,0.000813964
0.164372855,0.001198588,0.042435892,0.999663085,0.000179841
0.164390692,0.023169439,1.03119683,0.996953551,0.002855832
0.164397286,0.003225473,0.601182932,0.999276417,0.000726588
0.164408701,34.8522175,20.49479444,0,0.924849847
0.164418752,0.176258217,0.577980934,0.993952728,0.004818118
0.164431887,0.059334768,0.088063048,0.963666187,0.033718753
0.16444086,0.011487782,0.266688007,0.998756368,0.001019714
0.164442276,0.001843527,0.026604828,0.998574068,0.001385307
0.164447937,0.103549546,0.150934009,0.942716793,0.055278134
0.164463902,0.053870237,0.157967539,0.989883646,0.009514082
0.164467351,0.026198579,0.068214358,0.930345093,0.066504116
0.164477007,0.153532589,0.045142513,0.953503715,0.04336247
0.164481767,24.76922004,12.44386774,0,0.809060787
0.164484209,0.032533786,0.11570266,0.978824081,1.92E-02
0.164503036,0.059032718,0.134171567,0.900102891,0.098974488
0.164532577,0.006338333,1.958744513,0.998410806,0.001612331
0.164544751,1.698490837,2.430574742,0.996754858,0.002863456
0.164547169,0.005194648,0.064545346,0.991398855,0.00844953
0.164560293,0.020189341,0.082290597,0.924767239,0.074465593
0.164568583,0.007956172,0.144476167,0.99866248,0.001046272
0.16457706,0.083835117,0.4078742,0.942707759,0.055797483
0.164586452,0.032750962,0.18815082,0.918658431,0.080709752
0.164609837,0.00098179,0.042093999,0.9988215,0.001161173
0.164613561,1.057299305,1.512054102,0.980665626,0.018610354
0.164617256,0.005551388,0.04999546,0.998263427,0.001573842
0.164633269,0.247869693,0.878159822,0.927186299,0.072378274
0.164637969,0.042862446,0.151864178,0.923750093,0.074118221
0.164639604,0.010117703,0.634610415,0.996871581,3.11E-03
0.164642398,29.65757849,23.28137289,0,0.805848679
0.164642625,1.31435099,1.784268293,0.982844002,0.016473848
0.164648862,0.001308639,0.285763339,0.999399498,6.25E-04
0.164650103,0.001474572,0.098744635,0.997879244,0.002070356
0.164662734,0.014122818,4.281924929,0.99859388,1.43E-03
0.164698316,0.001573871,0.26314418,0.998100073,0.001914129
0.164708214,1.555791781,1.560371695,0.992695959,0.006677097
0.164711611,3.015661723,3.031731388,0.983939127,0.015211947
0.164712019,0.004586692,0.632163316,0.998588725,0.001375576
0.164730513,0.000825212,0.048396094,0.998874558,0.001144131
0.164734156,0.001321606,0.114254709,0.998886778,0.001098834
0.164735093,0.717369548,1.618660063,0.998230342,0.0015748
0.164736488,1.454525034,2.181205202,0.993549646,0.006196775
0.164755603,1.899494925,4.007498164,0.993564846,0.00599426
0.164765474,0.000712776,0.027638741,0.99868598,0.001145074
0.16477421,0.172309425,0.395253281,0.959296232,0.039980351
