Unit,Type,temperature,pressure
Coroccohuayco,arc,786,191.8576538
Coroccohuayco,arc,751,150.9556513
Coroccohuayco,arc,778,173.2204687
Coroccohuayco,arc,767,172.081962
Coroccohuayco,arc,774,175.0580607
Coroccohuayco,arc,792,229.8191603
Coroccohuayco,arc,786,206.941941
Coroccohuayco,arc,761,148.2237545
Coroccohuayco,arc,765,164.8925823
Coroccohuayco,arc,765,156.8130961
Coroccohuayco,arc,767,167.2754812
Coroccohuayco,arc,761,163.3514599
Coroccohuayco,arc,791,220.7868041
Coroccohuayco,arc,773,182.2378447
Coroccohuayco,arc,773,186.6089923
Coroccohuayco,arc,778,183.0024266
Coroccohuayco,arc,750,126.1258136
Coroccohuayco,arc,777,197.2289696
Coroccohuayco,arc,793,196.8021482
Coroccohuayco,arc,768,186.0828153
Coroccohuayco,arc,773,170.854304
Coroccohuayco,arc,762,140.8046525
Coroccohuayco,arc,752,154.4049316
Coroccohuayco,arc,762,167.556382
Coroccohuayco,arc,772,163.6349872
Coroccohuayco,arc,750,137.1794843
Coroccohuayco,arc,791,201.7091265
Coroccohuayco,arc,750,139.899629
Coroccohuayco,arc,771,169.8466043
Coroccohuayco,arc,768,166.2687468
Coroccohuayco,arc,764,157.1394653
Coroccohuayco,arc,766,146.4767602
Coroccohuayco,arc,768,166.4767661
Coroccohuayco,arc,781,173.2891488
Coroccohuayco,arc,790,216.1638779
Coroccohuayco,arc,786,203.5512934
Coroccohuayco,arc,767,177.5604298
Coroccohuayco,arc,784,204.6428705
Baogutu,arc,793,211.1518718
Baogutu,arc,809,216.2809773
Baogutu,arc,796,204.2423728
Baogutu,arc,783,209.2898249
Baogutu,arc,810,240.7075191
Baogutu,arc,775,200.6077091
Baogutu,arc,787,203.2035081
Baogutu,arc,805,229.2118594
Baogutu,arc,780,198.4954857
Baogutu,arc,774,196.1120629
Baogutu,arc,774,194.4162333
Baogutu,arc,779,192.5974419
Baogutu,arc,785,204.0799913
Baogutu,arc,779,199.3175426
Baogutu,arc,801,209.3223552
Baogutu,arc,794,208.6328808
Baogutu,arc,797,202.4322497
Baogutu,arc,801,231.2090936
Baogutu,arc,806,230.8129444
Baogutu,arc,782,189.0680944
Baogutu,arc,790,202.5706686
Baogutu,arc,788,185.3494814
Baogutu,arc,787,186.9350021
Baogutu,arc,779,181.1104778
Baogutu,arc,795,247.4990784
Baogutu,arc,802,252.822547
Baogutu,arc,812,272.0323922
Baogutu,arc,807,273.203426
Baogutu,arc,798,235.4303261
Baogutu,arc,804,245.1881614
Baogutu,arc,801,238.7106647
Baogutu,arc,800,246.2706387
Baogutu,arc,806,257.3773927
Baogutu,arc,797,259.1766145
Baogutu,arc,788,224.3710336
Yerington,arc,773,158.2220098
Yerington,arc,686,125.1398875
Luoboling,arc,759.4958167,140.0715805
Luoboling,arc,765.3586461,138.3912979
Luoboling,arc,816.4577301,255.6460396
Luoboling,arc,769.7689271,158.349602
Luoboling,arc,756.6979668,134.0872565
Luoboling,arc,804.0000343,188.8046556
Luoboling,arc,781.4325287,156.0862934
Luoboling,arc,816.7867492,238.5380141
Luoboling,arc,818.8729836,239.9922197
Luoboling,arc,803.2774908,216.8040184
Luoboling,arc,787.3167033,180.2822903
Luoboling,arc,805.8217976,234.3912054
Luoboling,arc,827.6658869,260.7859328
,,,
,,,
,,,
Niutoushan,col,760,209.4829492
